number,value,datetime_start,datetime_complete,duration,params_ema_span,params_gamma,params_imbalance_skew_factor,params_inventory_skew_factor,params_k,params_max_drawdown_pct,params_max_inventory_lots,params_range_spread_multiplier,params_tau,params_trend_size_multiplier,params_trend_spread_multiplier,state
0,-2.921388442413699,2026-07-19 20:27:00.672835,2026-07-19 20:27:01.423167,0 days 00:00:00.750332,10,0.05611516415334506,1.2022300234864176,2.2701814444901136,4.7782143788446225,0.04872223685309238,2,1.1063233020424545,1.5979909127171077,0.24646688973455957,1.3119890406724053,COMPLETE
1,-3.7798902096464033,2026-07-19 20:27:01.424549,2026-07-19 20:27:02.220589,0 days 00:00:00.796040,15,0.8706020878304853,0.5824582803960838,2.0296322368059485,4.2459918836018975,0.052008541182412056,1,0.802361513049481,0.8185086660174142,0.6198051453057902,1.6084844859190754,COMPLETE
2,-5.1933734190349705,2026-07-19 20:27:02.221240,2026-07-19 20:27:02.947820,0 days 00:00:00.726580,12,0.03839629299804171,1.2150897038028767,0.9263103092182288,2.148628294821613,0.05396085385900316,3,0.5325152889039984,1.1841049763255538,0.6739316550896339,2.0284688768272234,COMPLETE
3,-2.246599680201239,2026-07-19 20:27:02.948595,2026-07-19 20:27:03.725426,0 days 00:00:00.776831,47,0.7902619549708229,0.9903538202225404,0.585971302788046,4.845344148835517,0.041720653680766065,1,0.5854267643913451,1.7125960221746916,0.5521219949916811,2.3684660530243136,COMPLETE
4,-5.125807819215517,2026-07-19 20:27:03.726234,2026-07-19 20:27:04.447595,0 days 00:00:00.721361,34,0.032927591344236166,1.8789978831283782,2.737068376069122,3.481350279592919,0.09560523352119356,2,1.0425929763527801,0.9675666141341164,0.9756677022116469,1.369708911051054,COMPLETE
5,-3.848607000217158,2026-07-19 20:27:04.448435,2026-07-19 20:27:05.236751,0 days 00:00:00.788316,32,0.697828126512603,0.7135066533871786,1.2023362742184518,0.8982162592336378,0.06903963969159171,1,1.0801162564063505,0.7939742936287177,0.41707922541911674,1.777354579378964,COMPLETE
6,-5.998837387589787,2026-07-19 20:27:05.237405,2026-07-19 20:27:05.980895,0 days 00:00:00.743490,41,0.019135880487692304,1.4137146876952342,2.3225179201024684,4.109886413393179,0.12266937231559888,3,1.0708229999183838,0.6118259655196563,0.20441769369888194,1.3974313630683448,COMPLETE
7,-5.017688839115497,2026-07-19 20:27:05.981665,2026-07-19 20:27:06.809863,0 days 00:00:00.828198,36,0.014063366777718174,0.6503666440534941,2.32401544584516,2.113095778449227,0.10479577521930694,3,0.7176876252009635,0.6738035892876946,0.25084668022881895,1.6617960497052984,COMPLETE
8,-5.020562114248456,2026-07-19 20:27:06.810847,2026-07-19 20:27:07.593872,0 days 00:00:00.783025,11,0.594874681321977,1.0454656587639881,1.568852545896374,2.6249671632287717,0.12129420583402768,3,0.8456569174550734,0.6793913689074526,0.8167737439636489,2.1225543951389927,COMPLETE
9,-4.078505993071449,2026-07-19 20:27:07.594471,2026-07-19 20:27:08.423088,0 days 00:00:00.828617,13,0.016435497475111333,1.5111022770860973,1.0719954137290562,0.6414313355903041,0.09102848293976433,1,0.7872680461249408,1.4546156168956705,0.39943378331909996,2.8151329478521863,COMPLETE
